Funktion;GDB;Bezeichner_1;Bezeichner_2;Bezeichner_3;energetisch Relevant;WVBRpEBF;Strom;Bez;Typ;Lastprofil;Vlh;Raumheizung zu Prozesswärme;Quelle;Heizgrenztemp
2040;;;Versicherung;;1;147;52;Versicherung;Gewerbe, Handel, Dienstleistung;GKO;1800;95%;2;
2050;;;Geschäftsgebäude;;1;147;52;Geschäftsgebäude;Gewerbe, Handel, Dienstleistung;GMK;1800;95%;2;
2051;;;Kaufhaus;;1;82;57;Kaufhaus;Gewerbe, Handel, Dienstleistung;GH;1800;95%;2;
2052;;;Einkaufszentrum;;1;82;57;Einkaufszentrum;Gewerbe, Handel, Dienstleistung;GH;1800;95%;2;
2053;;;Markthalle;;1;82;57;Markthalle;Gewerbe, Handel, Dienstleistung;GH;1800;95%;2;
2054;;;Laden;;1;82;57;Laden;Gewerbe, Handel, Dienstleistung;GH;1800;95%;2;
2055;;;Kiosk;;1;82;57;Kiosk;Gewerbe, Handel, Dienstleistung;GH;1800;95%;2;
2056;;;Apotheke;;1;82;57;Apotheke;Gewerbe, Handel, Dienstleistung;GH;1800;95%;2;
2060;x;;Messehalle;;1;110;40;Messehalle;Gewerbe, Handel, Dienstleistung;GMK;1800;;1;
2070;;;Gebäude für Beherbergung;;1;160;74;Gebäude für Beherbergung;Gewerbe, Handel, Dienstleistung;GKO;1800;67%;2;
2071;;;;Hotel, Motel, Pension;1;160;74;Hotel, Motel, Pension;Gewerbe, Handel, Dienstleistung;GMK;2100;89%;4;17
2072;x;;;Jugendherberge;1;90;20;Jugendherberge;Gewerbe, Handel, Dienstleistung;GKO;1800;67%;1;
2073;;;;Hütte (mit Übernachtungsmöglichkeit);1;222;112;Hütte (mit Übernachtungsmöglichkeit);Gewerbe, Handel, Dienstleistung;GKO;1800;67%;2;
2074;x;;;Campingplatzgebäude;0;0;0;Campingplatzgebäude;Sonstige / Freizeit;;0;;;
2080;;;Gebäude für Bewirtung;;1;222;112;Gebäude für Bewirtung;Gewerbe, Handel, Dienstleistung;GMK;1800;67%;2;
2081;x;;;Gaststätte, Restaurant;1;222;112;Gaststätte, Restaurant;Gewerbe, Handel, Dienstleistung;GMK;2000;93%;4;17
2082;;;;Hütte (ohne Übernachtungsmöglichkeit);0;0;0;Hütte (ohne Übernachtungsmöglichkeit);Gewerbe, Handel, Dienstleistung;GMK;;;;
2083;;;;Kantine;1;120;75;Kantine;Gewerbe, Handel, Dienstleistung;GMK;1800;;1;
2090;;;Freizeit- und Vergnügungsstätte;;1;110;40;Freizeit- und Vergnügungsstätte;Gewerbe, Handel, Dienstleistung;GMK;1800;;1;
2091;;;;Festsaal;1;155;60;Festsaal;Gewerbe, Handel, Dienstleistung;GMK;1800;95%;2;
2092;;;;Kino;1;80;115;Kino;Gewerbe, Handel, Dienstleistung;GMK;1800;95%;2;
2093;;;;Kegel-, Bowlinghalle;1;110;40;Kegel-, Bowlinghalle;Gewerbe, Handel, Dienstleistung;GMK;1800;;1;
2094;;;;Spielkasino;1;110;40;Spielkasino;Gewerbe, Handel, Dienstleistung;GMK;1800;;1;
2100;x;Gebäude für Gewerbe und Industrie;;;1;73;46;Gebäude für Gewerbe und Industrie;Gewerbe, Handel, Dienstleistung;GMK;1800;75%;2;
2110;;;Produktionsgebäude;;1;73;46;Produktionsgebäude;Industrie;GMK;1800;75%;2;
2111;;;Fabrik;;1;73;46;Fabrik;Industrie;GMK;2200;75%;2;
2112;;;Betriebsgebäude;;1;110;20;Betriebsgebäude;Industrie;GMK;1800;;1;
2113;;;Brauerei;;1;73;46;Brauerei;Industrie;GMK;1800;95%;2;
2114;;;Brennerei;;1;73;46;Brennerei;Industrie;GMK;1800;95%;2;
2120;;;Werkstatt;;1;110;20;Werkstatt;Industrie;GMK;1800;;1;
2121;;;;Sägewerk;0;0;0;Sägewerk;Industrie;GMK;0;;;
2130;x;;Tankstelle;;1;82;57;Tankstelle;Gewerbe, Handel, Dienstleistung;GMK;1800;95%;2;
2131;;;;Waschstraße, Waschanlage, Waschhalle;0;0;0;Waschstraße, Waschanlage, Waschhalle;Gewerbe, Handel, Dienstleistung;GMK;;;;
2140;;;Gebäude für Vorratshaltung;;1;30;35;Gebäude für Vorratshaltung;Gewerbe, Handel, Dienstleistung;GH;1800;;1;
2141;;;;Kühlhaus;1;0;0;Kühlhaus;Gewerbe, Handel, Dienstleistung;GMK;1800;;3;
2142;;;;Speichergebäude;1;30;35;Speichergebäude;Gewerbe, Handel, Dienstleistung;GH;1800;;1;
2143;;;;Lagerhalle, Lagerschuppen, Lagerhaus;1;30;35;Lagerhalle, Lagerschuppen, Lagerhaus;Gewerbe, Handel, Dienstleistung;GH;1800;;1;
2150;;;;Speditionsgebäude;1;30;35;Speditionsgebäude;Gewerbe, Handel, Dienstleistung;GH;1800;;1;
2160;;;Gebäude für Forschungszwecke;;1;237;72;Gebäude für Forschungszwecke;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;2;
2170;;;Gebäude für Grundstoffgewinnung;;0;0;0;Gebäude für Grundstoffgewinnung;Industrie;GMK;0;;;
2171;x;;;Bergwerk;0;0;0;Bergwerk;Industrie;GMK;0;;;
2172;;;;Saline;0;0;0;Saline;Industrie;GMK;0;;;
2180;;;Gebäude für betriebliche Sozialeinrichtung;;1;0;0;;Sonstige / Freizeit;GMK;0;;1;
2200;;Sonstiges Gebäude für Gewerbe und Industrie;;;1;110;20;Sonstiges Gebäude für Gewerbe und Industrie;Gewerbe, Handel, Dienstleistung;GMK;1800;;1;
2210;;;Mühle;;0;0;0;Mühle;Gewerbe, Handel, Dienstleistung;GMK;0;;;
2211;x;;;Windmühle;0;0;0;Windmühle;Gewerbe, Handel, Dienstleistung;GMK;0;;;
2212;x;;;Wassermühle;0;0;0;Wassermühle;Gewerbe, Handel, Dienstleistung;GMK;0;;;
2213;x;;;Schöpfwerk;0;0;0;Schöpfwerk;Gewerbe, Handel, Dienstleistung;GMK;0;;;
2220;;;;Wetterstation;0;0;0;Wetterstation;Öffentliche Gebäude / Verwaltung;;;;;
2310;;Gebäude für Handel und Dienstleistung mit Wohnen;;;1;82;57;Gebäude für Handel und Dienstleistung mit Wohnen;Gewerbe, Handel, Dienstleistung;GMK;1800;95%;2;
2320;;Gebäude für Industrie mit Wohnen;;;1;110;20;Gebäude für Industrie mit Wohnen;Industrie;GMK;1800;95%;3;
2400;;Betriebsgebäude zu Verkehrsanlagen (allgemein);;;1;110;20;Betriebsgebäude zu Verkehrsanlagen (allgemein);Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2410;x;;Betriebsgebäude für Straßenverkehr;;1;110;20;Betriebsgebäude für Straßenverkehr;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2411;;;;Straßenmeisterei;1;110;40;Straßenmeisterei;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2412;;;Wartehalle;;1;165;93;Wartehalle;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;2;
2420;x;;Betriebsgebäude für Schienenverkehr;;1;110;20;Betriebsgebäude für Schienenverkehr;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2421;;;;Bahnwärterhaus;0;0;0;Bahnwärterhaus;Öffentliche Gebäude / Verwaltung;GKO;;;;
2422;;;;Lokschuppen, Wagenhalle;1;270;65;Lokschuppen, Wagenhalle;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2423;;;Stellwerk, Blockstelle;;0;0;0;Stellwerk, Blockstelle;Öffentliche Gebäude / Verwaltung;;;;;
2424;;;Betriebsgebäude des Güterbahnhofs;;0;0;0;Betriebsgebäude des Güterbahnhofs;Öffentliche Gebäude / Verwaltung;;;;;
2430;x;;Betriebsgebäude für Flugverkehr;;1;110;20;Betriebsgebäude für Flugverkehr;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2431;;;;Flugzeughalle;1;270;65;Flugzeughalle;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2440;x;;Betriebsgebäude für Schiffsverkehr;;1;110;20;Betriebsgebäude für Schriffsverkehr;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2441;;;;Werft (Halle);1;270;65;Werft (Halle);Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2442;;;;Dock (Halle);0;270;65;Dock (Halle);Öffentliche Gebäude / Verwaltung;GKO;1800;;;
2443;;;Betriebsgebäude zur Schleuse;;0;0;0;Betriebsgebäude zur Schleuse;Öffentliche Gebäude / Verwaltung;GKO;;;;
2444;;;;Bootshaus;1;270;65;Bootshaus;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2450;x;;Betriebsgebäude zur Seilbahn;;0;0;0;Betriebsgebäude zur Seilbahn;Öffentliche Gebäude / Verwaltung;GKO;0;;;
2451;;;;Spannwerk zur Drahtseilbahn;0;0;0;Spannwerk zur Drahtseilbahn;Öffentliche Gebäude / Verwaltung;GKO;;;;
2460;x;;Gebäude zum Parken;;0;0;0;Gebäude zum Parken;Öffentliche Gebäude / Verwaltung;GKO;0;;;
2461;x;;;Parkhaus;0;0;0;Parkhaus;Öffentliche Gebäude / Verwaltung;GKO;0;;;
2462;x;;;Parkdeck;0;0;0;Parkdeck;Öffentliche Gebäude / Verwaltung;GKO;0;;;
2463;;;;Garage;0;0;0;Garage;Öffentliche Gebäude / Verwaltung;GKO;0;;;
2464;;;Fahrzeughalle;;0;0;0;Fahrzeughalle;Gewerbe, Handel, Dienstleistung;GKO;;;;
2465;x;;;Tiefgarage;0;0;0;Tiefgarage;Öffentliche Gebäude / Verwaltung;GKO;0;;;
2500;;Gebäude zur Versorgung;;;1;110;40;Gebäude zur Versorgung;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2501;;;Gebäude zur Energieversorgung;;1;110;40;Gebäude zur Energieversorgung;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2510;x;;Gebäude zur Wasserversorgung;;1;110;40;Gebäude zur Wasserversorgung;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2511;x;;;Wasserwerk;1;110;40;Wasserwerk;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2512;x;;;Pumpstation;0;0;0;Pumpstation;Öffentliche Gebäude / Verwaltung;GKO;0;;;
2513;x;;;Wasserbehälter;0;0;0;Wasserbehälter;Öffentliche Gebäude / Verwaltung;GKO;0;;;
2520;;;Gebäude zur Elektrizitätsversorgung;;1;110;40;Gebäude zur Elektrizitätsversorgung;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2521;x;;;Elektrizitätswerk;1;110;40;Elektrizitätswerk;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2522;x;;;Umspannwerk;0;0;0;Umspannwerk;Öffentliche Gebäude / Verwaltung;GKO;0;;;
2523;x;;;Umformer;0;0;0;Umformer;Öffentliche Gebäude / Verwaltung;GKO;0;;;
2527;x;;;Reaktorgebäude;0;0;0;Reaktorgebäude;Öffentliche Gebäude / Verwaltung;GKO;0;;;
2528;;;;Turbinenhaus;0;0;0;Turbinenhaus;Öffentliche Gebäude / Verwaltung;GKO;0;;;
2529;;;;Kesselhaus;0;0;40;Kesselhaus;Öffentliche Gebäude / Verwaltung;GKO;0;;;
2540;;;Gebäude für Fernmeldewesen;;1;110;40;Gebäude für Fernmeldewesen;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2560;;;Gebäude an unterirdischen Leitungen;;0;0;0;Gebäude an unterirdischen Leitungen;Öffentliche Gebäude / Verwaltung;GKO;0;;;
2570;;;Gebäude zur Gasversorgung;;1;110;40;Gebäude zur Gasversorgung;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2571;x;;;Gaswerk;1;0;0;Gebäude zur Gasversorgung;Öffentliche Gebäude / Verwaltung;GKO;0;;1;
2580;x;;;Heizwerk;1;0;0;Gebäude zur Gasversorgung;Öffentliche Gebäude / Verwaltung;GKO;0;;1;
2590;;;Gebäude zur Versorgungsanlage;;1;0;0;Gebäude zur Versorgungsanlage;Öffentliche Gebäude / Verwaltung;GKO;0;;1;
2591;;;;Pumpwerk (nicht für Wasserversorgung);0;0;0;Pumpwerk (nicht für Wasserversorgung);Öffentliche Gebäude / Verwaltung;GKO;0;;;
2600;;Gebäude zur Entsorgung;;;1;110;40;Gebäude zur Entsorgung;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2610;;;Gebäude zur Abwasserbeseitigung;;1;110;40;Gebäude zur Abwasserbeseitigung;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2611;;;;Gebäude der Kläranlage;1;110;40;Gebäude der Kläranlage;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2612;;;;Toilette;0;0;0;Toilette;Öffentliche Gebäude / Verwaltung;GKO;0;;;
2620;x;;Gebäude zur Abfallbehandlung;;1;110;40;Gebäude zur Abfallbehandlung;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2621;;;;Müllbunker;0;0;0;Müllbunker;Öffentliche Gebäude / Verwaltung;GKO;0;;;
2622;x;;;Gebäude zur Müllverbrennung;1;110;40;Gebäude zur Müllverbrennung;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2623;;;;Gebäude der Abfalldeponie;1;110;40;Gebäude der Abfalldeponie;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
2700;;Gebäude für Land- und Forstwirtschaft;;;1;110;20;Gebäude für Land- und Forstwirtschaft;Land- und Forstwirtschaft;GMK;1800;;1;
2720;;;Land- und forstwirtschaftliches Betriebsgebäude;;1;110;20;Land- und forstwirtschaftliches Betriebsgebäude;Land- und Forstwirtschaft;GMK;1800;;1;
2721;;;;Scheune;0;0;35;Scheune;Land- und Forstwirtschaft;GMK;0;;;
2723;;;;Schuppen;0;0;35;Schuppen;Land- und Forstwirtschaft;GMK;0;;;
2724;;;;Stall;0;0;0;Stall;Land- und Forstwirtschaft;GMK;1800;;;
2726;;;;Scheune und Stall;0;0;0;Scheune und Stall;Land- und Forstwirtschaft;GMK;;;;
2727;;;;Stall für Tiergroßhaltung;1;0;0;Stall für Tiergroßhaltung;Land- und Forstwirtschaft;GMK;1800;;1;
2728;;;;Reithalle;0;0;35;Reithalle;Land- und Forstwirtschaft;GMK;1800;;;
2729;;;;Wirtschaftsgebäude;1;0;35;Wirtschaftsgebäude;Land- und Forstwirtschaft;GMK;0;;1;
2732;;;;Almhütte;0;0;0;Almhütte;Land- und Forstwirtschaft;GMK;;;;
2735;;;;Jagdhaus, Jagdhütte;0;0;35;Jagdhaus, Jagdhütte;Land- und Forstwirtschaft;GMK;0;;;
2740;;;Treibhaus, Gewächshaus;;1;110;20;Treibhaus, Gewächshaus;Land- und Forstwirtschaft;GMK;1800;;1;
2741;x;;;Treibhaus;1;110;20;Treibhaus;Land- und Forstwirtschaft;GMK;1800;;1;
2742;x;;;Gewächshaus, verschiebbar;0;437;0;Gewächshaus, verschiebbar;Land- und Forstwirtschaft;GMK;0;;;
3000;;Gebäude für öffentliche Zwecke;;;1;80;20;Gebäude für öffentliche Zwecke;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
3010;;;Verwaltungsgebäude;;1;80;20;Verwaltungsgebäude;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
3011;x;;;Parlament;1;80;20;Parlament;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
3012;x;;;Rathaus;1;80;20;Rathaus;Öffentliche Gebäude / Verwaltung;GKO;1700;95,40%;4;15
3013;x;;;Post;1;85;40;Post;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
3014;x;;;Zollamt;1;80;20;Zollamt;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
3015;x;;;Gericht;1;80;20;Gericht;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
3016;x;;;Botschaft, Konsulat;1;80;20;Botschaft, Konsulat;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
3017;x;;;Kreisverwaltung;1;80;20;Kreisverwaltung;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
3018;x;;;Bezirksregierung;1;80;20;Bezirksregierung;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
3019;;;;Finanzamt;1;80;20;Finanzamt;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
3020;;;Gebäude für Bildung und Forschung;;1;237;72;Gebäude für Bildung und Forschung;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;2;
3021;x;;;Allgemein bildende Schule;1;237;22;Allgemein bildende Schule;Öffentliche Gebäude / Verwaltung;GKO;1400;96,60%;4;
3022;x;;;Berufsbildende Schule;1;237;22;Berufsbildende Schule;Öffentliche Gebäude / Verwaltung;GKO;1300;95%;2;
3023;x;;;Hochschulgebäude (Fachhochschule, Universität);1;237,5;72;Hochschulgebäude (Fachhochschule, Universität);Öffentliche Gebäude / Verwaltung;GKO;1300;95%;2;
3024;x;;;Forschungsinstitut;1;237;72;Forschungsinstitut;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;2;
3030;;;Gebäude für kulturelle Zwecke;;1;155;60;Gebäude für kulturelle Zwecke;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;2;
3031;x;;;Schloss;0;0;0;Schloss;Öffentliche Gebäude / Verwaltung;GKO;0;;;
3032;x;;;Theater, Oper;1;155;60;Theater, Oper;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;2;
3033;x;;;Konzertgebäude;1;155;60;Konzertgebäude;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;2;
3034;x;;;Museum;1;147;52;Museum;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;2;
3035;x;;;Rundfunk, Fernsehen;1;147;52;Rundfunk, Fernsehen;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;2;
3036;x;;;Veranstaltungsgebäude;1;155;60;Veranstaltungsgebäude;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;2;
3037;x;;;Bibliothek, Bücherei;1;155;60;Bibliothek, Bücherei;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;2;
3038;x;;;Burg, Festung;0;0;0;Burg, Festung;Öffentliche Gebäude / Verwaltung;GKO;0;;;
3040;;;Gebäude für religiöse Zwecke;;1;135;30;Gebäude für religiöse Zwecke;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;1;
3041;x;;;Kirche;1;135;30;Kirche;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;1;
3042;x;;;Synagoge;0;0;0;Synagoge;Öffentliche Gebäude / Verwaltung;GKO;0;;;
3043;x;;;Kapelle;0;0;0;Kapelle;Öffentliche Gebäude / Verwaltung;GKO;0;;;
3044;x;;;Gemeindehaus;1;105;20;Gemeindehaus;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
3045;x;;;Gotteshaus;1;135;30;Gotteshaus;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;1;
3046;x;;;Moschee;0;0;0;Moschee;Öffentliche Gebäude / Verwaltung;GKO;0;;;
3047;x;;;Tempel;0;0;0;Tempel;Öffentliche Gebäude / Verwaltung;GKO;0;;;
3048;;;;Kloster;1;153;29;Kloster;Öffentliche Gebäude / Verwaltung;GKO;1800;67%;2;
3050;;;Gebäude für Gesundheitswesen;;1;198;110;Gebäude für Gesundheitwesen;Öffentliche Gebäude / Verwaltung;GKO;2400;75%;2;
3051;x;;;Krankenhaus;1;198;110;Krankenhaus;Öffentliche Gebäude / Verwaltung;GMK;2500;81%;4;17
3052;x;;;Heilanstalt, Pflegeanstalt, Pflegestation;1;198;110;Heilanstalt, Pflegeanstalt, Pflegestation;Öffentliche Gebäude / Verwaltung;GMK;2500;90%;4;17
3053;;;;Ärztehaus, Poliklinik;1;198;110;Ärztehaus, Poliklinik;Öffentliche Gebäude / Verwaltung;GMK;2400;75%;2;
3060;;;Gebäude für soziale Zwecke;;1;105;20;Gebäude für soziale Zwecke;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
3061;x;;;Jugendfreizeitheim;1;90;20;Jugendfreizeitheim;Öffentliche Gebäude / Verwaltung;GMK;1800;;1;
3062;x;;;Freizeit-, Vereinsheim, Dorfgemeinschafts-, Bürgerhaus;1;135;30;Freizeit-, Vereinsheim, Dorfgemeinschafts-, Bürgerhaus;Öffentliche Gebäude / Verwaltung;GMK;1800;;1;
3063;x;;;Seniorenfreizeitstätte;0;0;0;Seniorenfreizeitstätte;Öffentliche Gebäude / Verwaltung;GKO;0;;;
3064;x;;;Obdachlosenheim;1;153;29;Obdachlosenheim;Öffentliche Gebäude / Verwaltung;GKO;1800;67%;2;
3065;x;;;Kinderkrippe, Kindergarten, Kindertagesstätte;1;234;26;Kinderkrippe, Kindergarten, Kindertagesstätte;Öffentliche Gebäude / Verwaltung;GKO;1500;96,60%;4;
3066;;;;Asylbewerberheim;1;153;29;Asylbewerberheim;Öffentliche Gebäude / Verwaltung;GKO;1800;67%;2;
3070;;;Gebäude für Sicherheit und Ordnung;;1;100;20;Gebäude für Sicherheit und Ordnung;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
3071;x;;;Polizei;1;100;20;Polizei;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
3072;x;;;Feuerwehr;1;100;20;Feuerwehr;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
3073;x;;;Kaserne;1;153;29;Kaserne;Öffentliche Gebäude / Verwaltung;GKO;1800;67%;2;
3074;x;;;Schutzbunker;0;0;0;Schutzbunker;Öffentliche Gebäude / Verwaltung;GKO;0;;;
3075;x;;;Justizvollzugsanstalt;1;260;60;Justizvollzugsanstalt;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;2;
3080;;;Friedhofsgebäude;;0;0;0;Friedhofsgebäude;Öffentliche Gebäude / Verwaltung;GKO;0;;;
3081;x;;;Trauerhalle;1;0;0;Trauerhalle;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
3082;x;;;Krematorium;0;0;0;Krematorium;Öffentliche Gebäude / Verwaltung;;0;;;
3090;;;Empfangsgebäude;;1;165;93;Empfangsgebäude;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;2;
3091;x;;;Bahnhofsgebäude;1;120;30;Bahnhofsgebäude;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
3092;x;;;Flughafengebäude;1;135;205;Flughafengebäude;Öffentliche Gebäude / Verwaltung;GKO;1800;;1;
3094;;;;Gebäude zum U-Bahnhof;1;165;93;Gebäude zum U-Bahnhof;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;2;
3095;;;;Gebäude zum S-Bahnhof;1;165;93;Gebäude zum S-Bahnhof;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;2;
3097;x;;;Gebäude zum Busbahnhof;1;165;93;Gebäude zum Busbahnhof;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;2;
3098;;;;Empfangsgebäude Schifffahrt;1;165;93;Empfangsgebäude Schifffahrt;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;2;
3100;;Gebäude für öffentliche Zwecke mit Wohnen;;;1;142,87;32;Gebäude für öffentliche Zwecke mit Wohnen;Öffentliche Gebäude / Verwaltung;GKO;1800;95%;3;
3200;x;Gebäude für Erholungszwecke;;;1;80;20;Gebäude für Erholungszwecke;Sonstige / Freizeit;GKO;1800;;1;
3210;;;Gebäude für Sportzwecke;;1;154;19;Gebäude für Sportzwecke;Sonstige / Freizeit;GKO;1800;95%;2;
3211;x;;;Sport-, Turnhalle;1;154;19;Sport-, Turnhalle;Sonstige / Freizeit;GKO;1800;95%;2;
3212;x;;;Gebäude zum Sportplatz;1;154;19;Gebäude zum Sportplatz;Sonstige / Freizeit;GKO;1800;95%;2;
3220;;;Badegebäude;;1;1128;450;Badegebäude;Sonstige / Freizeit;GKO;2000;0%;2;
3221;x;;;Hallenbad;1;1128;450;Hallenbad;Sonstige / Freizeit;GKO;2000;0%;2;
